S-167,21st Main Road (Kumaraswamy Layout),ORR (Eashwaranagara),Kanakapura Road,"Dayananda Sagar College (Kumara 
Swamy Layout)- Vikaram nagara- 
METRO",4,"Raja 
-4
Rajeshwarinagara"
S-168,Chunchaghatta Main Road,Kanakapura Road,"Srinidhi Layout- 
Kothnur Road",Chunchaghatta,3,Bommanahalli -3
S-169,"Amruthanagara- Gollahalli- Kembattahalli 
Road","Kanakapura Road @ 
Konanakunte Cross","BBMP Limit (Joining) 
Banneraghatta Road)",Anjanadevi Layout,8,Bommanahalli -8
S-170,Kothnur Dinne Road,Amruthanagara Road,"Bannerghatta Road @ 
AGN Kalyana 
Mantapa",Kothnur Dinne- Syndicate Bank,6,Bommanahalli -6
S-171,Amruthnagara Main Road,"Srinidhi Layout- Kothnur 
Road","Kothnur Main Road @ 
Byrappa Circle",B.D.A Layout,5,Bommanahalli -5
S-172,Anjanapura Road,Kanakapura Road,"Amruthanagara, 
Kembattahalli @ 
Gollahalli","Narayana Rao Layout- Avalahalli- 
Anjanapura",7,Bommanahalli -7
S-173,"18th Main Road- 7th Main Road 
(Padmanabhanagara)",ORR,"Uttarahalli Main Road-
BSK ,3rd Stage-IV 
Phase",Padmanabhanagara,2,"Raja 
-2
Rajeshwarinagara"
S-174,Ittamadu Main Road,ORR,"Uttarahalli Main Road-
BSK, 3rd Stage, IV 
Phase",Ittamadu,4,"Raja 
-4
Rajeshwarinagara"
S-175,Ajwani Road,Kenchenahalli Main Road,Ittamadu road,"BEML Layout- R.R. Nagar IV 
Phase",4,"Raja 
-4
Rajeshwarinagara"
S-176,Srinivasaiah- Jawaharalal Nehru Road,Kenchenahalli Main Road,Uttarahalli Main Road,"BEML Layout- R.R. Nagar IV 
Phase",3,"Raja 
-3
Rajeshwarinagara"
S-177,Kenchenahalli Main Road,Mysore Road,Uttarahalli Main Road,Raja Rajeshwari Nagar,6,"Raja 
-6
Rajeshwarinagara"
S-178,Tata Show Room- Kenchenahalli Road,"Mysore Road @ TATA 
Show Room","Kenchenahalli Main 
Road",R.R Nagar (Kenchenahalli),3,"Raja 
-3
Rajeshwarinagara"
S-179,L.G. Godown Road,"Kenchenahalli Main Road
@ Halagevadera Halli 
Junction","Kenchenahalli Main 
Road @ Best Club 
Road Junction","BEML Layout, R. R. Nagar",3,"Raja 
-3
Rajeshwarinagara"
S-180,Pattanagere Main Road,Mysore Road,"Kenchenahalli Main 
Road","BEML Layout, R. R. Nagar",3,"Raja 
-3
Rajeshwarinagara"
S-181,Vaddarapalya Road,ORR,Mysore Road,Dubashipalya,3,"Raja 
-3
Rajeshwarinagara"
S-182,Nagadevana halli Road,ORR,"Bangalore University 
Road",Jagajyothinagara,2,"Raja 
-2
Rajeshwarinagara"
S-183,Kenchanapura Road,Dodda Basti,Nagadevanahalli Road,"Doddabasti-Sonnenahalli- 
Bhuvaneshwarinagara- Jagajyothi 
Nagara",5,"Raja 
-5
Rajeshwarinagara"
S-184,Mariyappana Palya Road,ORR,"Bangalore University 
Road",Mariyappanapalya,2,"Raja 
-2
Rajeshwarinagara"
